information content index (neighborhood symmetry of 0-order),3D Petitjean shape index,structural information content index (neighborhood symmetry of 0-order),Geary autocorrelation of lag 1 weighted by van der Waals volume,dipole moment,energy of the highest occupied molecular orbital,energy of the lowest occupied molecular orbital,chemical potential,hardness,electrophilicity index,UFL
1.5,0.4737,0.5,1.2703,4.351,-0.2701,0.0081,-0.131,0.2782,0.0308429187634795,16.0
1.5,0.4288,0.5,1.5406,1.8089,-0.2849,-0.0016,-0.14325,0.2833,0.0362170181786092,20.0
1.4354,0.3842,0.4149,1.5204,1.9897,-0.2821,0.0002,-0.14095,0.2823,0.035187570846617,13.5
1.4354,0.3844,0.4149,1.5204,1.7992,-0.2698,0.0104,-0.1296999999999999,0.2802,0.0300180049964311,16.0
1.3788,0.4907,0.3621,1.5123,1.9417,-0.2676,0.0117,-0.12795,0.2793,0.029307559076262,11.4
1.3328,0.4275,0.3261,1.5083,1.8318,-0.2685,0.0122,-0.12815,0.2807,0.0292526229070181,8.0
1.3328,0.4866,0.3261,1.5083,1.8669,-0.2669,0.01212,-0.12739,0.27902,0.0290807327431725,7.2
1.2955,0.4864,0.2997,1.5059,1.7325,-0.2674,0.0126,-0.1274,0.28,0.0289835,7.6
1.2647,0.4711,0.2796,1.5045,1.747,-0.2674,0.0126,-0.1274,0.28,0.0289835,7.5
1.2955,0.4875,0.39,1.372,1.9543,-0.2644,0.1034,-0.0805,0.3678,0.0088094752582925,21.5
1.3788,0.3014,0.3621,1.4297,0.0001,-0.2416,0.0886,-0.0765,0.3302,0.0088616747425802,22.0
1.371,0.2517,0.5904,1.1071,1.9869,-0.296,0.0373,-0.12935,0.3333,0.0250996437143714,17.4
1.2988,0.4119,0.4329,1.2267,2.0976,-0.2925,0.04,-0.12625,0.3324999999999999,0.0239685150375939,15.4
1.2407,0.3625,0.3586,1.2905,2.0771,-0.2903,0.0419,-0.1242,0.3322,0.0232173991571342,10.7
1.1981,0.4378,0.3147,1.3301,2.0373,-0.2883,0.0423,-0.123,0.3306,0.0228811252268602,10.1
1.1981,0.3779,0.3147,1.3301,2.1054,-0.2885,0.0405,-0.1239999999999999,0.3289999999999999,0.0233677811550151,9.1
1.4591,0.4251,0.5645,0.9207,1.4619,-0.2585,-0.0009,-0.1297,0.2576,0.0326515722049689,33.0
1.325,0.3076,0.3696,0.7575,1.766,-0.2441,-0.0112,-0.12765,0.2329,0.0349818001288106,7.1
1.5,0.2615,0.5,0.8869,2.8945,-0.2955,0.0173,-0.1391,0.3127999999999999,0.0309284047314578,12.8
1.4343,0.358,0.4149,0.997,2.9415,-0.2934,0.0176,-0.1379,0.311,0.0305730064308681,14.5
1.371,0.2257,0.5904,0.8765,2.0097,-0.2779,0.0017,-0.1381,0.2795999999999999,0.0341051680972818,16.0
1.2988,0.4346,0.4329,1.0284,2.1854,-0.2749,0.0044,-0.1352499999999999,0.2793,0.0327471580737558,11.3
1.1488,0.3114,0.4092,1.9083,1.5004,-0.2242,0.0834,-0.0704,0.3076,0.0080561768530559,20.7
1.1568,0.4047,0.3482,1.7305,1.4092,-0.2243,0.0833,-0.0705,0.3076,0.0080790799739921,14.0
1.1568,0.4919,0.3482,1.9219,1.0773,-0.2127,0.0859,-0.0634,0.2986,0.006730676490288,14.4
1.1401,0.4427,0.3081,1.6594,1.3671,-0.2235,0.0853,-0.0691,0.3088,0.0077312338082901,10.4
1.1216,0.4918,0.2804,1.7292,0.9913,-0.2074,0.0869,-0.06025,0.2943,0.0061672825348284,10.1
1.1401,0.4923,0.3081,1.9348,0.6811,-0.2092,0.0854,-0.0619,0.2946,0.0065030719619823,11.6
1.0907,0.4377,0.2446,1.7322,0.6226,-0.2004,0.0838,-0.0583,0.2842,0.0059797501759324,8.0
1.4488,0.4277,0.5161,1.0203,3.8727,-0.2889,-0.0563,-0.1726,0.2325999999999999,0.0640386070507308,17.3
1.2958,0.3385,0.3404,0.8522,1.647,-0.1987,0.0082,-0.0952499999999999,0.2069,0.021924993958434,11.0
1.3996,0.4585,0.3582,1.3367,1.8211,-0.2632,-0.0388,-0.151,0.2244,0.050804367201426,12.5
1.0,0.467,0.25,0.9375,0.4478,-0.2221,-0.0294,-0.12575,0.1926999999999999,0.0410302607680332,6.1
